input,golds,options,preds
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 19 Jul 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Berikut adalah soalan aneka pilihan tentang Sains Komputer. Sila berikan jawapan sahaja.

Pasangan algoritma yang digunakan untuk melakukan penyulitan dan nyahsulit dikenali sebagai
A. kunci (keys)
B. Sifer (cipher)
C. Teks sifer (ciphertext)
Jawapan:<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",1,"['A. kunci (keys)', 'B. Sifer (cipher)', 'C. Teks sifer (ciphertext)']",B
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 19 Jul 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Berikut adalah soalan aneka pilihan tentang Sains Komputer. Sila berikan jawapan sahaja.

......  ialah teknik yang mengasingkan item-item dalam senarai tertentu ke dalam baldi.
A. Bubble sort
B. Bucket sort
C. Linear search
D. Binary search
Jawapan:<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",1,"['A. Bubble sort', 'B. Bucket sort', 'C. Linear search', 'D. Binary search']",B
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 19 Jul 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Berikut adalah soalan aneka pilihan tentang Sains Komputer. Sila berikan jawapan sahaja.

Nyatakan cara yang digunakan dalam Python untuk membezakan pernyataan dengan barisan kod arahan.
A. meletakkan simbol ( /n ) di penghujung ayat
B. meletakkan simbol ( # )dipermulaan sesuatu ayat tunggal
C. meletakkan tanda petikan (''' ''') yang berbilang yang melebihi satu baris
D. meletakkan tanda (?) pada permulaan perkataan
Jawapan:<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",1,"['A. meletakkan simbol ( /n ) di penghujung ayat', 'B. meletakkan simbol ( # )dipermulaan sesuatu ayat tunggal', ""C. meletakkan tanda petikan (''' ''') yang berbilang yang melebihi satu baris"", 'D. meletakkan tanda (?) pada permulaan perkataan']",C
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 19 Jul 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Berikut adalah soalan aneka pilihan tentang Sains Komputer. Sila berikan jawapan sahaja.

SQL adalah bahasa pengaturcaraan aras tinggi generasi kelima yang ringkas dan mudah.
A. Benar
B. Salah
Jawapan:<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",0,"['A. Benar', 'B. Salah']",A
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 19 Jul 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Berikut adalah soalan aneka pilihan tentang Sains Komputer. Sila berikan jawapan sahaja.

Satu siri langkah yang tersusun untuk menyelesaikan sesuatu masalah dipanggil ...
A. Algebra
B. Algoritma
C. Pseudokod
D. Pengaturcaraan
Jawapan:<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",1,"['A. Algebra', 'B. Algoritma', 'C. Pseudokod', 'D. Pengaturcaraan']",B
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 19 Jul 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Berikut adalah soalan aneka pilihan tentang Sains Komputer. Sila berikan jawapan sahaja.

Apabila menggunakan struktur kawalan pilihan bersarang, kenyataan Jika mesti diakhiri dengan Tamat Jika ditempat yang betul. Kalau tidak, akan timbul ralat dalam skrip.
A. Benar
B. Palsu
Jawapan:<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",0,"['A. Benar', 'B. Palsu']",B
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 19 Jul 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Berikut adalah soalan aneka pilihan tentang Sains Komputer. Sila berikan jawapan sahaja.

Penyataan manakah menunjukkan kaedah pengecaman corak?
A. Rumah saya mempunyai tiga tingkat
B. Semua rumah ada pintu
C. Belakang rumah saya terdapat kolam besar
Jawapan:<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",1,"['A. Rumah saya mempunyai tiga tingkat', 'B. Semua rumah ada pintu', 'C. Belakang rumah saya terdapat kolam besar']",B
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 19 Jul 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Berikut adalah soalan aneka pilihan tentang Sains Komputer. Sila berikan jawapan sahaja.

Maklumat berikut menerangkan satu teknik dalam pemikiran komputasional.
""Memecahkan masalah atau sistem yang kompleks kepada bahagian-bahagian kecil bagi memudahkan pemahaman dan penyelesaian.""
Apakah nama teknik itu?
A. Teknik leraian.
B. Teknik peniskalaan
C. Teknik pengitlakan
D. Teknik pengecaman corak
Jawapan:<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",0,"['A. Teknik leraian.', 'B. Teknik peniskalaan', 'C. Teknik pengitlakan', 'D. Teknik pengecaman corak']",B
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 19 Jul 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Berikut adalah soalan aneka pilihan tentang Sains Komputer. Sila berikan jawapan sahaja.

Jenis format fail manakah dalam bentuk tidak mampat?
A. WAVE
B. MP3
C. MP4
D. MIDI
Jawapan:<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",0,"['A. WAVE', 'B. MP3', 'C. MP4', 'D. MIDI']",C
"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 19 Jul 2026

<|eot_id|><|start_header_id|>user<|end_header_id|>

Berikut adalah soalan aneka pilihan tentang Sains Komputer. Sila berikan jawapan sahaja.

Pernyataan yang manakah  tidak benar tentang HTML?
A. HTML ialah singkatan bagi HyperText Markup Language
B. HTML digunakan untuk membinalaman sesawang
C. Kod HTML hanya boleh ditulis dengan menggunakan perisian aplikasi Notepad
D. HTML terdiri daripada beberapa kod arahan yang pendek dan mudah
Jawapan:<|eot_id|><|start_header_id|>assistant<|end_header_id|>

",2,"['A. HTML ialah singkatan bagi HyperText Markup Language', 'B. HTML digunakan untuk membinalaman sesawang', 'C. Kod HTML hanya boleh ditulis dengan menggunakan perisian aplikasi Notepad', 'D. HTML terdiri daripada beberapa kod arahan yang pendek dan mudah']",A
